"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 16 20:18:55 GET 2025","Sun Feb 16 20:18:57 GET 2025","2199","","TestLoginRequestUserData","","TestLoginRequestUserData","authorizationWithCorrectUser","authorizationWithCorrectUser",""
"passed","Sun Feb 16 20:18:49 GET 2025","Sun Feb 16 20:18:51 GET 2025","1942","","TestGetOrders","","TestGetOrders","getOrdersWithoutAuthorization","getOrdersWithoutAuthorization",""
"passed","Sun Feb 16 20:18:32 GET 2025","Sun Feb 16 20:18:32 GET 2025","344","","TestChangeUserData","","TestChangeUserData","changeUserDataWithoutAuthorization[0]","changeUserDataWithoutAuthorization[0]",""
"passed","Sun Feb 16 20:18:35 GET 2025","Sun Feb 16 20:18:35 GET 2025","300","","TestChangeUserData","","TestChangeUserData","changeUserDataWithoutAuthorization[2]","changeUserDataWithoutAuthorization[2]",""
"passed","Sun Feb 16 20:18:28 GET 2025","Sun Feb 16 20:18:31 GET 2025","3873","","TestChangeUserData","","TestChangeUserData","changeUserDataWithAuthorization[0]","changeUserDataWithAuthorization[0]",""
"passed","Sun Feb 16 20:18:46 GET 2025","Sun Feb 16 20:18:47 GET 2025","1066","","TestCreateRequestUserData","","TestCreateRequestUserData","createCorrectUser","createCorrectUser",""
"passed","Sun Feb 16 20:18:42 GET 2025","Sun Feb 16 20:18:46 GET 2025","4062","","TestCreateOrder","","TestCreateOrder","createOrderWithAuthorization","createOrderWithAuthorization",""
"passed","Sun Feb 16 20:18:37 GET 2025","Sun Feb 16 20:18:40 GET 2025","2753","","TestCreateOrder","","TestCreateOrder","createOrderWithOutAuthorization","createOrderWithOutAuthorization",""
"passed","Sun Feb 16 20:18:53 GET 2025","Sun Feb 16 20:18:55 GET 2025","2145","","TestLoginRequestUserData","","TestLoginRequestUserData","authorizationWithIncorrectLogin","authorizationWithIncorrectLogin",""
"passed","Sun Feb 16 20:18:51 GET 2025","Sun Feb 16 20:18:53 GET 2025","2232","","TestGetOrders","","TestGetOrders","getOrdersWithAuthorization","getOrdersWithAuthorization",""
"passed","Sun Feb 16 20:18:34 GET 2025","Sun Feb 16 20:18:35 GET 2025","1542","","TestChangeUserData","","TestChangeUserData","changeUserDataWithAuthorization[2]","changeUserDataWithAuthorization[2]",""
"passed","Sun Feb 16 20:18:35 GET 2025","Sun Feb 16 20:18:37 GET 2025","1731","","TestCreateOrder","","TestCreateOrder","createOrderWithInvalidHash","createOrderWithInvalidHash",""
"passed","Sun Feb 16 20:18:33 GET 2025","Sun Feb 16 20:18:34 GET 2025","315","","TestChangeUserData","","TestChangeUserData","changeUserDataWithoutAuthorization[1]","changeUserDataWithoutAuthorization[1]",""
"passed","Sun Feb 16 20:18:40 GET 2025","Sun Feb 16 20:18:42 GET 2025","1891","","TestCreateOrder","","TestCreateOrder","createOrderWithoutIngredients","createOrderWithoutIngredients",""
"passed","Sun Feb 16 20:18:32 GET 2025","Sun Feb 16 20:18:33 GET 2025","1365","","TestChangeUserData","","TestChangeUserData","changeUserDataWithAuthorization[1]","changeUserDataWithAuthorization[1]",""
"passed","Sun Feb 16 20:18:47 GET 2025","Sun Feb 16 20:18:49 GET 2025","1369","","TestCreateRequestUserData","","TestCreateRequestUserData","createUserAlreadyExist","createUserAlreadyExist",""
"passed","Sun Feb 16 20:18:47 GET 2025","Sun Feb 16 20:18:47 GET 2025","312","","TestCreateRequestUserData","","TestCreateRequestUserData","createUserWithoutPassword","createUserWithoutPassword",""
